$ICAO,$Registration,sigh,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#ImageLink,#ImageLink2,#ImageLink3
C80C06,ZK-HCH,True,Private,Bell Helicopter Co 206B (Iii),B06,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C81793,ZK-HCM,True,Private,Hughes Helicopters 369D,H500,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C8249A,ZK-HCQ,True,Private,Eurocopter As 350 B3,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/26616_1538889485.jpg,,
C8271B,ZK-HCW,True,Private,Eurocopter As 350 B2,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/71114_1611990090.jpg,https://cdn.jetphotos.com/full/5/31115_1600578071.jpg,
C828FC,ZK-HDB,True,Private,Eurocopter As 350 Ba,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C8183A,ZK-HDL,True,Private,Eurocopter As.350B2,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/29744_1662937993.jpg,https://cdn.jetphotos.com/full/5/46130_1535610971.jpg,https://cdn.jetphotos.com/full/4/86308_1363606392.jpg
C80DB7,ZK-HDU,True,Private,Bell Helicopter Co 206B,B06,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C81D40,ZK-HEE,True,Private,Airbus Helicopters As 350 B3,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/52728_1564645974.jpg,https://cdn.jetphotos.com/full/6/39014_1463623546.jpg,https://cdn.jetphotos.com/full/4/40698_1367843485.jpg
C82491,ZK-HEM,True,Private,Kawasaki Heavy Industries Bk117 B-2,BK17,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/78237_1559727167.jpg,https://cdn.jetphotos.com/full/5/82870_1553383094.jpg,
C82892,ZK-HEN,True,Private,Eurocopter As 350 B3,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/75589_1594177556.jpg,https://cdn.jetphotos.com/full/1/68478_1193386981.jpg,
